"Автор","Название","Год","Файл"
"Гоголь Н.В.","Тарас Бульба","1835","Gogol_Taras_Bulba.txt"
"Тургенев И.С.","Записки охотника","1947-1951","Turgenev_Zapiski_ohotnika.txt"
"Чехов А.П.","Степь","1888","Chekhov_Step.txt"
"Шолохов М.А.","Поднятая целина","1930-1959","Sholokhov_Podnyataya_tselina.txt"
"Шолохов М.А.","Тихий Дон","1925-1940","Sholokhov_Tikhiy_Don.txt"
